X,Y,Z
578350,5313720,197.5
578360,5313720,197.5
578370,5313720,197.3
578380,5313720,197.2
578390,5313720,197
578400,5313720,196.7
578410,5313720,196.4
578420,5313720,196
578430,5313720,195.6
578440,5313720,195.2
578450,5313720,194.9
578460,5313720,194.7
578470,5313720,194.9
578480,5313720,196.3
578490,5313720,198.4
578500,5313720,200.1
578510,5313720,201.1
578520,5313720,202.5
578530,5313720,203.8
578540,5313720,205.4
578550,5313720,207.2
578560,5313720,211
578570,5313720,215.1
578580,5313720,219.5
578590,5313720,222.3
578600,5313720,225.7
578610,5313720,229.8
578620,5313720,233.1
578630,5313720,235.6
578640,5313720,237.9
578650,5313720,239.7
578660,5313720,241.8
578670,5313720,245.2
578680,5313720,251.7
578690,5313720,256.5
578700,5313720,258.6
578710,5313720,260.6
578720,5313720,262.5
578730,5313720,264.5
578740,5313720,266.5
578750,5313720,268.5
578760,5313720,270.6
578770,5313720,272.8
578780,5313720,275
578790,5313720,277.1
578800,5313720,279.4
578810,5313720,281.1
578820,5313720,282.4
578830,5313720,283.5
578840,5313720,284.7
578850,5313720,285.7
578860,5313720,286.6
578870,5313720,287.1
578880,5313720,287.5
578890,5313720,287.9
578900,5313720,288.3
578910,5313720,288.7
578920,5313720,289
578930,5313720,289.4
578940,5313720,289.7
578950,5313720,290
578960,5313720,290.4
578970,5313720,290.7
578980,5313720,291
578990,5313720,291.3
579000,5313720,291.5
579010,5313720,291.7
579020,5313720,291.8
579030,5313720,291.9
579040,5313720,292
579050,5313720,292
579060,5313720,292
579070,5313720,291.9
579080,5313720,291.8
579090,5313720,291.6
579100,5313720,291.4
579110,5313720,291.3
579120,5313720,291.1
579130,5313720,291
579140,5313720,290.8
579150,5313720,290.6
579160,5313720,290.3
579170,5313720,289.9
579180,5313720,289.5
579190,5313720,289
579200,5313720,288.5
579210,5313720,287.8
579220,5313720,287
579230,5313720,286.2
579240,5313720,285.6
579250,5313720,285.4
579260,5313720,285.2
579270,5313720,285.1
579280,5313720,284.9
579290,5313720,284.6
579300,5313720,284.3
579310,5313720,283.8
579320,5313720,283.2
579330,5313720,282.5
579340,5313720,281.6
579350,5313720,280.7
579360,5313720,279.8
579370,5313720,278.8
579380,5313720,277.9
579390,5313720,277
579400,5313720,276.2
579410,5313720,275.7
579420,5313720,274.9
579430,5313720,273.9
579440,5313720,273
579450,5313720,272.2
579460,5313720,271.3
579470,5313720,270.6
579480,5313720,270
579490,5313720,269.3
579500,5313720,268.7
579510,5313720,268.1
579520,5313720,267.6
579530,5313720,267
579540,5313720,266.5
579550,5313720,265.9
579560,5313720,265.2
579570,5313720,264.6
579580,5313720,264
579590,5313720,263.4
579600,5313720,262.8
579610,5313720,262
579620,5313720,260.8
579630,5313720,259.7
579640,5313720,258.6
579650,5313720,257.4
579660,5313720,256.3
579670,5313720,255.4
579680,5313720,255.3
579690,5313720,255.1
579700,5313720,255.3
579710,5313720,255.7
579720,5313720,256.1
579730,5313720,256.6
579740,5313720,257
579750,5313720,257.4
579760,5313720,257.6
579770,5313720,257.8
579780,5313720,257.9
579790,5313720,258
579800,5313720,258.1
579810,5313720,258.1
579820,5313720,258.1
579830,5313720,258.2
579840,5313720,258
579850,5313720,257.6
579860,5313720,257
579870,5313720,256.2
579880,5313720,255
579890,5313720,253.7
579900,5313720,252.5
579910,5313720,251.2
579920,5313720,249.8
577020,5313710,97.7
577030,5313710,97.7
577040,5313710,97.7
577050,5313710,97.7
577060,5313710,97.6
577070,5313710,97.6
577080,5313710,97.6
577090,5313710,97.5
577100,5313710,97.5
577110,5313710,97.5
577120,5313710,97.5
577130,5313710,97.5
577140,5313710,97.5
577150,5313710,97.4
577160,5313710,97.3
577170,5313710,97.3
577180,5313710,97.3
577190,5313710,97.4
577200,5313710,97.5
577210,5313710,97.6
577220,5313710,97.9
577230,5313710,98.2
577240,5313710,98.6
577250,5313710,98.9
577260,5313710,99.3
577270,5313710,99.8
577280,5313710,100.5
577290,5313710,101
577300,5313710,101.5
577310,5313710,102
577320,5313710,102.5
577330,5313710,103.1
577340,5313710,103.6
577350,5313710,104.7
577360,5313710,106
577370,5313710,107.4
577380,5313710,108.7
577390,5313710,109.9
577400,5313710,111.1
577410,5313710,112.3
577420,5313710,113.5
577430,5313710,114.5
577440,5313710,115.6
577450,5313710,117.3
577460,5313710,119.2
577470,5313710,120.6
577480,5313710,121.7
577490,5313710,122.8
577500,5313710,123.9
577510,5313710,124.9
577520,5313710,125.9
577530,5313710,126.6
577540,5313710,127.4
577550,5313710,129
577560,5313710,131.4
577570,5313710,133.6
577580,5313710,136.1
577590,5313710,138.9
577600,5313710,141.6
577610,5313710,144.5
577620,5313710,146.9
577630,5313710,148.8
577640,5313710,150.8
577650,5313710,152.7
577660,5313710,154.3
577670,5313710,156
577680,5313710,157.4
577690,5313710,158.6
577700,5313710,159.4
577710,5313710,160.2
577720,5313710,161
577730,5313710,161.7
577740,5313710,162.4
577750,5313710,163.1
577760,5313710,163.7
577770,5313710,164.4
577780,5313710,164.8
577790,5313710,165.2
577800,5313710,165.6
577810,5313710,166
577820,5313710,166.3
577830,5313710,166.7
577840,5313710,167.2
577850,5313710,167.7
