X,Y,
576954.8128,5313056.019,
576955.0033,5313056.257,
576955.1937,5313056.495,
576955.3841,5313056.733,
576955.5745,5313056.971,
576955.7649,5313057.209,
576955.9552,5313057.447,
576956.1456,5313057.685,
576956.336,5313057.923,
576956.5264,5313058.161,
576956.7168,5313058.399,
576956.9072,5313058.637,
576957.0976,5313058.875,
576957.288,5313059.114,
576957.4784,5313059.352,
576957.6689,5313059.59,
576957.8593,5313059.828,
576958.0497,5313060.066,
576958.2401,5313060.304,
576958.4305,5313060.542,
576958.6209,5313060.78,
576958.8113,5313061.018,
576959.0017,5313061.256,
576959.1921,5313061.494,
576959.3825,5313061.732,
576959.5729,5313061.97,
576959.7633,5313062.208,
576959.9537,5313062.446,
576960.1442,5313062.684,
576960.3346,5313062.922,
576960.525,5313063.16,
576960.7154,5313063.398,
576960.9058,5313063.636,
576961.0962,5313063.874,
576961.2866,5313064.112,
576961.477,5313064.35,
576961.6674,5313064.588,
576961.8578,5313064.826,
576962.0482,5313065.064,
576962.2386,5313065.302,
576962.429,5313065.54,
576962.6194,5313065.778,
576962.8099,5313066.016,
576963.0003,5313066.254,
576963.1907,5313066.492,
576963.3811,5313066.73,
576963.5715,5313066.968,
576963.7619,5313067.206,
576963.9523,5313067.444,
576964.1427,5313067.682,
576964.3331,5313067.92,
576964.5235,5313068.158,
576964.7139,5313068.396,
576964.9043,5313068.634,
576965.0947,5313068.872,
576965.2852,5313069.11,
576965.4756,5313069.348,
576965.666,5313069.586,
576965.8564,5313069.824,
576966.0468,5313070.062,
576966.2372,5313070.3,
576966.4276,5313070.538,
576966.618,5313070.776,
576966.8084,5313071.014,
576966.9988,5313071.252,
576967.1892,5313071.49,
576967.3796,5313071.728,
576967.57,5313071.966,
576967.7604,5313072.204,
576967.9509,5313072.442,
576968.1413,5313072.68,
576968.3317,5313072.918,
576968.5221,5313073.156,
576968.7125,5313073.394,
576968.9029,5313073.632,
576969.0933,5313073.87,
576969.2837,5313074.108,
576969.4741,5313074.346,
576969.6645,5313074.584,
576969.8549,5313074.822,
576970.0453,5313075.06,
576970.2357,5313075.298,
576970.4262,5313075.536,
576970.6166,5313075.774,
576970.807,5313076.012,
576970.9974,5313076.25,
576971.1878,5313076.488,
576971.3782,5313076.726,
576971.5686,5313076.964,
576971.759,5313077.202,
576971.9494,5313077.44,
576972.1398,5313077.678,
576972.3302,5313077.916,
576972.5206,5313078.154,
576972.711,5313078.392,
576972.9014,5313078.63,
576973.0919,5313078.868,
576973.2823,5313079.106,
576973.4727,5313079.344,
576973.6631,5313079.582,
576973.8535,5313079.82,
576974.0439,5313080.058,
576974.2343,5313080.296,
576974.4247,5313080.534,
576974.6151,5313080.772,
576974.8055,5313081.01,
576974.9959,5313081.248,
576975.1863,5313081.486,
576975.3767,5313081.724,
576975.5672,5313081.962,
576975.7576,5313082.201,
576975.948,5313082.439,
576976.1384,5313082.677,
576976.3288,5313082.915,
576976.5192,5313083.153,
576976.7096,5313083.391,
576976.9,5313083.629,
576977.0904,5313083.867,
576977.2808,5313084.105,
576977.4712,5313084.343,
576977.6616,5313084.581,
576977.852,5313084.819,
576978.0424,5313085.057,
576978.2329,5313085.295,
576978.4233,5313085.533,
576978.6137,5313085.771,
576978.8041,5313086.009,
576978.9945,5313086.247,
576979.1849,5313086.485,
576979.3753,5313086.723,
576979.5657,5313086.961,
576979.7561,5313087.199,
576979.9465,5313087.437,
576980.1369,5313087.675,
576980.3273,5313087.913,
576980.5177,5313088.151,
576980.7082,5313088.389,
576980.8986,5313088.627,
576981.089,5313088.865,
576981.2794,5313089.103,
576981.4698,5313089.341,
576981.6602,5313089.579,
576981.8506,5313089.817,
576982.041,5313090.055,
576982.2314,5313090.293,
576982.4218,5313090.531,
576982.6122,5313090.769,
576982.8026,5313091.007,
576982.993,5313091.245,
576983.1834,5313091.483,
576983.3739,5313091.721,
576983.5643,5313091.959,
576983.7547,5313092.197,
576983.9451,5313092.435,
576984.1355,5313092.673,
576984.3259,5313092.911,
576984.5163,5313093.149,
576984.7067,5313093.387,
576984.8971,5313093.625,
576985.0875,5313093.863,
576985.2779,5313094.101,
576985.4683,5313094.339,
576985.6587,5313094.577,
576985.8492,5313094.815,
576986.0396,5313095.053,
576986.23,5313095.291,
576986.4204,5313095.529,
576986.6108,5313095.767,
